Nome_Logradouro,Complemento
ALMEIDA BRANDAO,
LOURENCO,
LUSTOSA,
LUSTOSA,TERREO
,
SERGIMIRIM,CASA
SERRINHA,SOBRADO
ANTONIO DE PLATAFORMA,
ANTONIO DE PLATAFORMA,FRENTE
,TERREO
DA AURORA,
DOS FERROVIARIOS,CASA
FERROVIARIOS,CASA
DOS FERROVIARIOS,
JUAZEIRO,ANDAR
ROSA DOS REIS,CASA 1 FUNDOS
MANOEL MONTE,
MONTE,
MANOEL MONTE,FUNDOS 1
TEREZINHA,FUNDOS
1    2 DE JULHO DA TEREZINHA,
DIRETA DA,
LOPES,SOBRADO
CACHOEIRA,FUNDOS
DA TIJUCA,ANDAR 1
ESMERALDA,
MURITIBA,FUNDOS
DO CIPO,
,
ANTONIO BALBINO,TERREO
LAURINDO CERQUEIRA,FUNDOS
LAURINDO CERQUEIRA,
DOS TECELOES DE BAIXO 2,
BUCUI,FRENTE
DA FONTE,
DA FONTE,SOBRADO
JUNDIAI,
,
19 DE,
CAQUENDE,
BONIFACIO DOS SANTOS,
BONIFACIO DOS SANTOS,
BONIFACIO DOS SANTOS,
VELHA DO CABRITO,
PEIXOTO,
ROSA VERMELHA,TERREO
TESKEY,
BREJINHO,TERREO
SAPOTI,
1 DAVID VELOSO,TERREO
ANA PAULA,
JOSE ESTANISLAU DE SANTANA,FUNDOS
JOSE ESTANISLAU DE SANTANA,ANDAR
ANTONIO BANDEIRA,ANDAR 1
ANTONIO HUNGAR,
PRATA,TERREO
FERREIRA,SOBRADO
ANTONIO DOS SANTOS,
1 DE MAIO DE PLATAFORMA,
LAURINDO CERQUEIRA,
2 DA,
CACHOEIRA,SOBRADO
DOURADA,
CHILE,CASA 10
CHILE,LADO DIREITO
BELA VISTA,
SA OLIVEIRA,TERREO
JOSE DUARTE,
AMPARO DO TORORO,ANDAR 2 APARTAMENTO 201
MESQUITA,
RUBENS MESQUITA,
DO BRASIL,APARTAMENTO 202
AMPARO DO TORORO,ANDAR 2 APARTAMENTO 201
VALE DO,
JOANA ANGELICA,TERREO
ANGELICA,APARTAMENTO ANDAR
JOANA ANGELICA,APARTAMENTO 301 SUBSOLO 3
JUNQUEIRA FREIRE,APARTAMENTO
DA INDEPENDENCIA,APARTAMENTO 202
DA MANGUEIRA,
BANGALA,APARTAMENTO 301 ANDAR 3
FREIRE,APARTAMENTO 101 TERREO FUNDOS
AMERICO SIMAS,
MOURARIA,APARTAMENTO 604 ANDAR 6
BACELLAR,CASA 3 ANDAR 2
DA MOURARIA,APARTAMENTO 1 BLOCO 1
DA MOURARIA,
DO CASTANHEDA,APARTAMENTO 202 ANDAR 2
CASTANHEDA,APARTAMENTO 5
J J,
J J SEABRA,
DO BANGALA,
DO GRAVATA,CASA ANDAR 2
FONTE DO GRAVATA,
FONTE DO GRAVATA,APARTAMENTO 1
J J SEABRA,
J J SEABRA,
J J SEABRA,
ANTONIETA GOES,
COSTA E SILVA,CASA
JOSE DUARTE,CASA ANDAR 1
AMPARO DO,
JOANA D ARC,FUNDOS
JUAZEIRO,
JUAZEIRO,
IVANIL,CASA
FREITAS HENRIQUE,FUNDOS
2 SAO,CASA
HENRIQUE,CASA
,CASA
IRIS,CASA
DO PAIVA,PREDIO ANDAR 04
SAO JOAO,CASA
DA MANDCHURIA,TERREO
PAIVA,
1 DA MANDCHURIA,
,
PRIMEIRA SACRAMENTO,CASA
,TERREO
GUATARANA,
MARIA,
VITAL,TERREO
BONFIM,ANDAR 2
JUAZEIRO,
LEAO,
OSCAR LOPES,
AURELIO RODRIGUES DA SILVA,
MUNDO,CASA
ANA MADUREIRA,LADO
MADUREIRA,FUNDOS
BAIXAS DE QUINTAS,
DO PAIVA,EDIFICIO
RAINHA,
JOSE MARIZ PINTO,ANDAR 2
VARGAS,ANDAR 2
NEVES DA ROCHA,TERREO
NEVES DA ROCHA,TERREO
FLORESTA,ANDAR 2
1 DARCY VARGAS,
GUAIBA,
,
HAVAI,TERREO
CARMELA DUTRA,TERREO
DUTRA,
VARGAS,TERREO
MARQUES DE,TERREO
,ANDAR 1
EDUARDO SANTOS,
PERO VAZ VELHO,TERREO
MIRANDA,CASA
5 TRAVESSA VITOR SERRA,
ANTONIO BALBINO,FUNDOS CASA 2
DE PORTO ALEGRE,TERREO
ROSARIO,
ARACATU,
,
COELHO,CASA 2
TEREZINHA,
ANDREA,
DAS ALMAS,
ALMAS,
INDIOS DO,
TRAVESSA INDIOS DO BRASIL,TERREO
CONEGO PEREIRA,CASA
CONEGO PEREIRA,LOJA
DO JACARE,
FELISBERTO CALDEIRAS,CASA 2 ANDAR
FELISBERTO CALDEIRAS,LADO
ARISTIDES ARTICO,
NETO,
ESTRADA DA,ANDAR segundo
PEDREIRA,
VIEGAS,SUBSOLO 3
DO QUEIMADINHO,
MANOEL MARIO DE LIMA,
,
BLANCO,APARTAMENTO 201
FRANCISCO BLANCO,TERREO
VICENTINA,TERREO
DAS LARVAS,TERREO
DAS LARVAS,CASA
EDITE BARRAL,
PAULO DA MATA,
ABELARDO PAULO DA MATA,
GRACA,
BELO ORIENTE,TERREO
DARCY VARGAS,
3 CANDEIAS,TERREO
BELO ORIENTE,TERREO
,TERREO
GASPAR DE LEMOS,
GASPAR DE LEMOS,FUNDOS
DAMIAO DE GOES,CASA
DAMIAO DE GOES,
,
WALSON LOPES,1 2
WALSON LOPES,CASA
GONCALVES,ANDAR 2
VITOR SERRA,
PARAGUAI,
2 DA MANGUEIRA,
ARISTIDES DE OLIVEIRA,
DO VALE CABRAL,ANDAR 2 APARTAMENTO 202
DO VALE CABRAL,SUBSOLO 1 CASA 3
HAMLET DE FARIAS,SUBSOLO APARTAMENTO 5
HAMLET DE FARIAS,TERREO
EDGAR CHASTINET,TERREO
JOSE EDVALDO GALVAO,ANDAR 1
MACHADO,QUADRA LOTE 30 1
ANTONIO DE PADUA,2 301
FERNANDO LEAL,
PORTO ALEGRE,TERREO
PORTO ALEGRE,APARTAMENTO 303
SEXTA FLORESTA,
ANTONIO BALBINO,CASA 1
PRIMEIRA JOSE MARTINS DE ARAUJO,
ANTONIO DA GLORIA,
SANTO ANTONIO DA GLORIA,
SEGUNDA SANTO ANTONIO DA GLORIA,
SANTO ANTONIO DA GLORIA,FUNDOS
,TERREO
ANTONIO DA GLORIA,CASA
MARICA,
MARQUES DE MARICA,TERREO
SANTO ANTONIO,
VALDIVINO MAGALHAES,
02 DE FEVEREIRO,
AVANI,
CASTANHA,
PRIMEIRO DE DEZEMBRO,ANDAR 1
25 DE,TERREO
7 DE,FRENTE ANDAR 1
24 DE JUNHO,
28 DE ABRIL,FUNDOS CASA 2
REGINA,CASA
REGINA,CASA
,CASA 1 ANDAR
PRIMEIRA PANTALEA,
ARISTIDES ARTICO,BANCA
MANOEL CAETANO,
JOSE DE CIMA,
SOUTO DALVA,SUBSOLO 7
SOLEDADE,FUNDOS CASA 1
LAPINHA,
ARQUIMEDES PESSOA,CASA
BRUNO SEABRA,
LIBERDADE,
DA LIBERDADE,SALA
LIBERDADE,
EUZEBIO DE QUEIROZ,ANDAR 3 APARTAMENTO 301
2 CANDEIAS,
LAURO VILAS BOAS,
PERO VAZ,
FRUTA PAO,CASA FUNDOS
PRIMEIRA ANTONIO,
ANTONIO,
GONCALVES,
BOA FE,
DAS CRAVINAS,
,FUNDOS
PROGRESSO,CASA
,
DO PROGRESSISTA,TERREO
PRUDENTE MOISES,TERREO
PRUDENTE MOISES,
CURUZU,TERREO
,
NADIR DE JESUS,1
DO HORTO,
FE EM DEUS,CASA 2
1 CLEMENTINO HEITOR DE CARVALHO,
BOM JESUS DA LAPA DO IAPI,
DA VALA,
ROQUE DO,
DE PORTO ALEGRE,ANDAR 1 APARTAMENTO 1
DE PORTO ALEGRE,BLOCO 5 ANDAR 2 APARTAMENTO 3 PAVILHAO 10
DE PORTO,BLOCO 5 ANDAR 4 APARTAMENTO 7 PAVILHAO 11
ANIBAL VIANA SAMPAIO,
SEPULVEDA,
SEPULVEDA,
DE PORTO ALEGRE,1 APARTAMENTO
1 SANTO ANTONIO,
ASTROZILDO SEPULVEDA,
ASTROZILDO SEPULVEDA,SUBSOLO 3
SEPULVEDA,CASA
JAIR SANTOS,004
JAIR SANTOS,TERREO FUNDOS
TERCEIRA DA PAZ,TERREO
LUZIA,FUNDOS CASA 6
OSWALDO GORDILHO,
GORDILHO,ANDAR 1
OSWALDO GORDILHO,FUNDOS ANDAR 1
OSWALDO GORDILHO,
RENATO ARGOLO,ANDAR 1 FUNDOS
ARGOS,
CRUZ,SUBSOLO
DALMIRO SAO PEDRO,ANDAR 1 FUNDOS
SANTIAGO,
4 DE,
4 DE SETEMBRO,1
5 DE NOVEMBRO,
VIEIRA,FUNDOS CASA 2
BATISTA VIEIRA,TERREO
MADALENA PARAGUASSU,FUNDOS CASA 3
PARAGUASSU,FUNDOS CASA 1
NOVA DO CRUZEIRO,FRENTE
VERA CRUZ,4
PEDRAS,ANDAR 1
DAS PEDRAS,ANDAR
,
SEGUNDA DOUTOR ESTEVES DE ASSIS,FRENTE
SEGUNDA DOUTOR ESTEVES DE ASSIS,ANDAR 1
3 DE NOVEMBRO,CASA
20 DE,
PRIMEIRO DE,ANDAR 1 CASA 102
PRIMEIRO DE JANEIRO,
PRIMEIRO DE JANEIRO,
TRANSIBULO FERRAZ,
TRANSIBULO FERRAZ,FUNDOS
25 DE DEZEMBRO,
7 DE JANEIRO,
CONEGO PEREIRA,
DA SETE PORTAS,ANDAR 1 SALA 28
DA SETE,BOX
M DE AGUIAR,APARTAMENTO 12
ARTHUR M DE AGUIAR,
DO ARCO,BLOCO b APARTAMENTO 32
DOS ADOBES,
DOS ADOBES,
QUITANDINHA DO CAPIM,
DOS PERDOES,
DOS OSSOS,
OSSOS,
VITAL REGO,
ALEM DO CARMO,
DIREITA DE SANTO ANTONIO,
DOS CARVOES,
EUZEBIO DE QUEIROZ,APARTAMENTO
LIBERDADE,ANDAR 2
,
2 LIBERDADE,
RAIMUNDO MESQUITA,ANDAR 1
1 JULIO JUNCAL,
13 MAIO,ANDAR 2
,TERREO
DA CENTRAL,CASA 1
2 TUPY,
TUPY CALDAS,ANDAR 2
TUPY CALDAS 1,CASA 4
CYRILO GONCALVES DE OLIVEIRA,
COELHO,TERREO
ARTHUR COELHO,ANDAR 1
ARTHUR COELHO,TERREO
SEGUNDA MARIO ALVES,
ADELINO SANTOS,
NELSON MALEIRO 1,
,
DO CURUZU,FRENTE
DO CURUZU,FRENTE CASA
SANTO,
ISAURA,10
1 TRAVESSA VILA OPERARIA,FUNDOS
REIS,
PEDRO RODRIGUES DE LIMA,TERREO CASA 1
,
VERA CRUZ,
CRUZ,FUNDOS
CRUZ,
CRUZ,
JOAO PEDRO RODRIGUES DE LIMA,FUNDOS
JOAO PEDRO RODRIGUES DE LIMA,
10 DE NOVEMBRO,TERREO
EUFROSINA MIRANDA,ANDAR CASA
MIRANDA,
EUFROSINA MIRANDA,FUNDOS CASA 3
EUFROSINA MIRANDA,FUNDOS
03 DE NOVEMBRO,TERREO
1 TRAVESSA BENJAMIN FRANKLIN,CASA 5
3 TRAVESSA BENJAMIN FRANKLIN,
ESTEVES DE,
SILVA,
,
CASCATA,
ESTIVES DE,FUNDOS CASA 3
,ANDAR 1
ALTO DO FORNO,
ALTO DO FORNO,TERREO
PRIMEIRO DE JANEIRO,
JILO,
24 DE JUNHO,
24 DE JUNHO,
7 TRAVESSA 24 DE JUNHO,TERREO
DO SABAO,BARRACAO
MELO MORAES,
RAIMUNDO MESQUITA,FRENTE
PRADO,
RIO PRADO,
JORGE,
1 RIO PRADO,FRENTE
1 RIO PRADO,
CALDAS,FUNDOS
,CASA 3
ESTRADA DA LIBERDADE,
FLAVIO DE,
FLAVIO DE,
GENGIBIRRA,SUITE
SEMIRAMES SEIXAS,FRENTE
ESTRADA DA,
ESTRADA DA,
,
ANTONIO,CASA
CRISTOVAO,
ANTONIO,
CRISTOVAO,
,TERREO
LACERDA,CASA 1 ANDAR 1
2,FRENTE
2 ALVARENGA,
3 ALVARENGA,ANDAR 3
DA ALEGRIA,
UNIDOS,CASA
5 AVENIDA DA ALEGRIA,CASA 5
RIO NEGRO,ANDAR 1
FERRAO,ANDAR 1
CINCO IRMAOS,CASA
DOMINGOS DE,
PEDRO FERRAO,
TOME,
DE SAO JOSE,CASA 1 TERREO
DE SAO JOSE,
LIMA E,
OITAVA AVENIDA LIBERDADE,CASA
LACERDA,ANDAR 1
MARIA,
ANA DEJA,ANDAR 1
BRAZ ANDRE,ANDAR 1
ANDRE,ANDAR TERREO
SERRA,TERREO OF
ARMANDO DAS,ANDAR 1
28 DE SETEMBRO,
DO YPIRANGA,ANDAR 1
YPIRANGA,
YPIRANGA,TERREO
DULCE,
ROCHA LEAL,
ARISTIDES ARTICO,
DE LOURDES,
GUAIBA,TERREO
MARQUES DE,
MARQUES DE SANTANA,ANDAR 1
MARQUES DE SANTANA,
JARDIM VERA CRUZ,QUADRA LOTE 16
MANGUEIRA,
ANTONIO 3,TERREO
,CASA
MARIO KERTESZ,
,CASA
CAMILO DE JESUS LIMA,FUNDOS CASA
ELISIO,
SAN MARTIN,
BAIXA FE EM DEUS,
COSME E DAMIAO,
COSME E,TERREO
ELMANO SILVEIRA CASTRO,TERREO
JAIR SANTOS,SUBSOLO
DA PAZ,
DA PAZ,ANDAR 1 CASA 2
ELMANO SILVEIRA,CASA 15
ELMANO SILVEIRA,TERREO
ELMANO SILVEIRA,FUNDOS CASA 2
PRIMEIRA DA PAZ,
PRIMEIRA DA,ANDAR 1
DE MARICA,
DA CARMOSINA,FUNDOS
SA NUNES,TERREO
9 DE JUNHO,
DA ALEGRIA,TERREO
WALDIR PIRES,CASA
6 PINHEIRO,CASA TERREO
FLORISVALDO SILVA,
,CASA
,CASA
DO ARCO,
DO ARCO,FUNDOS 02
DOMINGOS CAETANO,
SALDANHA MARINHO,EDIFICIO
1 PEDRO,ANDAR 2
2 DE JULIO,CASA
2 DE JULIO,CASA
MARGARIDA,TERREO
,TERREO FRENTE
MARGARIDA,CASA
MANOEL DRUMOND,
1 MANDCHURIA,
FERREIRA,ANDAR 3
FERREIRA,
PARAISO,EDIFICIO 13
,ANDAR 1
SAO JOAO,TERREO
4 FREITAS HENRIQUE,CASA
SANTOS,
SERRA,
ARLINDO TELES,
PINHEIRO,ANDAR 1
PINHEIRO,ANDAR 1
BRIGADEIRO PESSOA SILVA,
QUEIMADO,
25 DE FEVEREIRO,TERREO
,FUNDOS
3 TRAVESSA PADRE ANTONIO,TERREO
FONTE,
DALMIRO SAO PEDRO,ANDAR 2
FERNANDO LEAL,TERREO FUNDOS
,CASA
QUARTA 25 DEDEZEMBRO,
TERCEIRA DOIS DE FEVEREIRO,
25 DE DEZEMBRO,TERREO
CONEGO PEREIRA,
DE MACAUBAS,FRENTE
MACAUBAS,CASA 02 FUNDOS
FORTUNATO BEJAMIM SABACK,TERREO
FUISCO DE,CASA
NOVA ESPERANCA,CASA ANDAR 1
AGOSTINHO,
PAULISTA,
PRIMEIRA PAULISTA,
ARISTIDES OLIVEIRA,TERREO
CHACARA RAMOS,
NOVA DO CRUZEIRO,FUNDOS
,
DOS PIRINEUS,
DOS PIRINEUS,TERREO
FUNIL,APARTAMENTO 805
DO FUNIL,
2 ALTO DO BOM GOSTO,CASA
NELSON MALEIRO,
,FUNDOS 1
DA VILA OPERARIA,ANDAR 1
1 TRAVESSA DA VILA OPERARIA,FRENTE
,ANDAR 2
CORONEL SERRA,CASA
FLAVIO DE,
POSSIDONIO DIAS,
SEMIRAMIS SEIXAS,APARTAMENTO 05
ALVARENGA PEIXOTO,TERREO
PEIXOTO,TERREO
CRISTOVAO,
LUIZA,
CALDAS,
7 DE,
GENGIBIRRA DO MEIO,
GENGIBIRRA DO MEIO,ANDAR 1
SIMAO,
BOM JESUS DA LAPA,ANDAR 1
MARIO ALVES,TERREO
PEREIRA,CASA
PEREIRA,TERREO
DO AMOR,CASA
NOVA DO ESTALEIRO,CASA
ABEL,
JAIME VIEIRA LIMA,ANDAR 1
MARIO PIMENTEL FILHO,ANDAR 1
JAIME VIEIRA LIMA,ANDAR 1
,
FERRIRA,
ALAMEDA A 4,
AMARAL,
DO CABRITO,SUBSOLO 2 CASA 2
,SUBSOLO
,
,
DAS HORTAS,
SEGUNDA ANA PIEDADE,ANDAR 2
PAULO VALE,
BEIJA FLOR,LADO
B16,
B9,
,
ADILSON LEITE,
PRIMEIRA ADILSON LEITE,
LOBATO CAMPINAS,TERREO
MONTEIRO LOBATO,TERREO
SAMBRA,ANDAR 1
ELISANGELA,ANDAR 1B
LOBATO,
PEIXOTO,
COELHO,
,
,FUNDOS 2
PRIMEIRA QUATRO DE JULHO,
QUATRO DE JULHO,
QUATRO DE JULHO,
AFRANIO PEIXOTO,
,FUNDOS
CORNELIO,TERREO
MARCIANO PORCINO,
BARNABE,CASA
,CASA
,TERREO
ITAQUARACI,
ITAQUARACI,LADO
JOAO RODRIGUES MENDES,
ATTA,
CAMPINAS,
LUIS,FUNDOS 2
RAMALHO SANTOS,TERREO
RAMALHO SANTOS,
RODOVIA A,SUBSOLO
SANSUE,SOBRADO
ANTONIO CARLOS MAGALHAES,FUNDOS
GERVASIO,
DA ALEGRIA,
DA ALEGRIA,
ALEGRIA,TERREO
DA INDEPENDENCIA,TERREO
DA INDEPENDENCIA,SOBRADO
MARIA,SOBRADO
A,
UNIDOS,
UNIDOS,
FERNANDO MEIRELES,TERREO
FERNANDO MEIRELES,
FILOMENA,
,
VOLUNTARIOS DA PATRIA,
,
,TERREO
22 DE MARCO,
22 DE MARCO,
,FUNDOS 1 E
JERUSALEM,ANDAR 1
DA ALEGRIA,FUNDOS 4
8 DE,
SABOARIA,TERREO
RODOVIA A,
A,FUNDOS CASA 3
VINTE DE,CASA
PRIMEIRA RODOVIA A,
SABINO VIEIRA,
VIEIRA,ANDAR 1
3 DE ABRIL,
,
DIQUE,TERREO
AMIGOS,
PITANGUEIRAS DA CAPELINHA,
PITANGUEIRAS DA,CASA 10
22 DE,TERREO
DAS PITANGUEIRAS DA CAPELINHA,FUNDOS
LIMA,FUNDOS 2
LIMA,TERREO
TERCEIRA 7 DE SETEMBRO,ANDAR 1
ANTONIO,ANDAR 1
SOUZA DIAS,TERREO
ANTONIO VIEIRA,TERREO FRENTE
ELISABETE,ANDAR 2
AUGUSTO PUBLIO,ANDAR 1
CALDAS,FUNDOS CASA 1
,ANDAR 2
DO CARMO,SUBSOLO CASA 1
DO COQUEIRO,ANDAR 1
NOVA DA IGREJA,TERREO
CRISPIM,TERREO
VIEIRA,
ANTONIO VIEIRA,TERREO
PRIMEIRA DAS PEDREIRAS,
VOLUNTARIOS DA PATRIA,FUNDOS CASA 4
VOLUNTARIOS DA PATRIA,CASA 1
VOLUNTARIOS DA PATRIA,TERREO
VOLUNTARIOS DA,FUNDOS CASA 2
VOLUNTARIOS DA PATRIA,CASA
VOLUNTARIOS DA,CASA
AFRANIO PEIXOTO,
PEIXOTO,
JOSE RAMOS,TERREO
VOLUNTARIOS DA PATRIA,
PRIMEIRA 7,
PRIMEIRA 3 DE DEZEMBRO,ANDAR 1
JORGE,
FILHO,
,CASA 2
SEGUNDA DA,ANDAR 1
SEGUNDA DO CONVENTO,ANDAR 2
ANTONIO DE,
ANTONIO DE MELO,TERREO
CLEA BITTENCOURT,1
RAPOLD FILHO,
DIRETA DE SAO CAETANO,
HIGINO TEIXEIRA,ANDAR 2
NATAL,
JOSE DE,TERREO
JOSE TIBERIO,SUBSOLO
JOSE TIBERIO,TERREO
DUTRA,ANDAR 1 FRENTE
DUTRA,
29 DE JULHO,CASA
JOSE TIBERIO,TERREO CASA 1
LUIZ,SUBSOLO
,TERREO
BAMBUI,
BAMBUI,ANDAR 1 LADO
CAMARGO,
FONTE DA BICA DE BAIXO,LADO
LADEIRA DO CAMURUJIPE,FRENTE
LADEIRA DO,
CURVELO DE MENDONCA,TERREO
,ANDAR 2
JERONIMO,
JOIA,TERREO
FONTE DA BICA DE CIMA,
NOVA DO CAMURUJIPE,
DA BICA DE CIMA,
REZENDE DE JESUS,ANDAR 1
,
PRIMEIRA FONTE DA BICA DE,
SEBASTIAO,SOBRADO
SEBASTIAO,
ESPERANTO,TERREO
ESPERANTO,ANDAR 2
ESPERANTO,SUBSOLO 1
FRANCISCO GOES,
SATANA DO JARDIM SUSSUNGA,ANDAR 1
VIANA DE CASTRO,ANDAR 2
VIANA DE CASTRO,1
CAPELINHA DE SAO CAETANO,ANDAR
MARIO LISBOA SAMPAIO,TERREO
NOVA BAHIA,CASA
ANTONIO CARLOS,ANDAR 1
CIRLANDIA,
,ANDAR 1
MARCIA MAIA,TERREO FUNDOS
NOVA BAHIA,2
ANTONIO VIEIRA,
DA JAQUEIRA,
VOLUNTARIOS DA PATRIA,
2 DA,
MAMORANA,CASA
PINHEIRO,
,ANDAR 1
ALTO SANTO ANTONIO,
VISTA DE SAO CAETANO,TERREO FRENTE 01
NESTOR DUARTE,TERREO
DUARTE,
LUIS DE VASCONCELOS,1
BREJAL,TERREO
NOVA BREJAL,
MELLO MORAES FILHO,
MELLO MORAES FILHO,FUNDOS 5
NESTOR DUARTE,ANDAR 1
,TERREO 1
SANTANA,
SINESIO NUNES,
IDALINA,CASA 4
MELLO MORAES FILHO,
MELLO MORAES,BOX loja 2
ORIENTE,FUNDOS 1
RIO DOCE,TERREO
RIO SAO PEDRO,
PINHO,
WANDERLEY PINHO,
WANDERLEY PINHO,TERREO
MELLO MORAES FILHO,
TRAVESSA PACHECO DE OLI,
DAS MANSOES,
CANTO DA FLRESTA,
VIA OSNI,TERREO
1 TRAVESSA CANTO DA FLORESTA,TERREO
MAROTINHO,ANDAR 1
MELLO MORAES FILHO,ANDAR 1
MELO MORAES FILHO,
2 TRAVESSA MAROTINHO,
ESPERANTO DE BAIXO,TERREO
12 DE SETEMBRO,
DIRETA DA,
PRIMEIRA TIRADENTES,
TERCEIRA TIRADENTES,
TIRADENTES,
PAULO RUBENS,CASA
PAULO RUBENS,TERREO
SETE DE SETEMBRO,
3   ACURUI,TERREO
TRAVESSA AUGUSTO LACERDA,
MELLO MORAES,ANDAR
MELLO MORAES FILHO,
MELLO MORAES,ANDAR 1
1 TRAVESSA LIDIO DOS SANTOS,
TRAVESSA LIDIO DOS SANTOS,ANDAR 1
LIDIO DOS SANTOS,TERREO
,FUNDOS CASA 55 FNS
2 LIDIO DOS SANTOS,TERREO
CARMELITA,TERREO
CARMELITA,
JOSE BONIFACIO,5
BOA ESPERANCA,
SEGUNDA BOA ESPERANCA,CASA 20
PERU,
GUILHERME DIAS,
MARE,TERREO
MAURICIO,TERREO
,FUNDOS
AUSTRICLIANO,FUNDOS TERREO 1
DUARTE,TERREO
HORTA,CASA 2
DA HORTA,
MAMORANA,CASA
AUSTRICLIANO,CASA 4
,TERREO
JACIARA,CASA
VOLUNTARIOS DA PATRIA,CASA
VOLUNTARIOS DA PATRIA,
,CASA
DOS UNIDOS,
MARITANA,FUNDOS
VOLUNTARIOS DA PATRIA,ANDAR 2
PEDREIRA FRANCO,CASA
BARRO BRANCO,
DO ORIENTE,CASA a ANDAR 1
ESPERANCA,
SAN MARTIN,
2 TRAVESSA,
2 TRAVESSA PACHECO,
LIDIO DOS SANTOS,
LIDIO DOS SANTOS,ANDAR 2
CANDINHO FERNANDES,
GIL DA FAZENDA GRANDE,TERREO
FAGUNDES,
MELLO MORAES,
SAO LUCAS,ANDAR 3
1 CLIMERIO DE OLIVEIRA,
ANA,TERREO
AURORA,TERREO
DOIS DE JULHO,TERREO
DOIS DE JULHO,
DOS LIBERTADORES,TERREO
2 DOIS DE JULHO,TERREO
2 DOIS DE JULHO,
3 DOIS DE JULHO,CASA
TRAVESSA JOSE,TERREO
FRANCISCO,CASA E
IRMAOS VIEIRA,CASA
,
PROVIDENCIA 3,
DAS BROMELIAS,
2 DO,
4 PIO DUARTE MENDES,TRAVESSA_INTERNA
MELO MORAES FILHO,
JAQUEIRA DO CARNEIRO,
JAQUEIRA DO CARNEIRO,CASA
JAQUEIRA DO CARNEIRO,TERREO
ALECRIM,ANDAR 1
ALECRIM,TERREO
JORGE,ANDAR 1
18 DE MAIO,TERREO
DA AJUDA,
LOURIVAL ALVES,
BOM JUA BR 324,
SILVEIRA,
DIRETA DO ARRAIAL,
OLIVEIRA,CASA
,ANDAR 1 CASA 3
OLIVEIRA,
OLIVEIRA,
ROQUE,FUNDOS
1A PEDRO HILARIO,TERREO
1 DE ABRIL,
1 DE ABRIL,TERREO 1
,
SAPEACU,
VILA DE SERVICO MILITAR,
DIRETA DO SAO GONCALO,SOBRADO
DIRETA DO SAO GONCALO,SOBRADO
,
PRIMEIRA GEORGINA,
ADIPA,TERREO CASA 1
ADIPA,TERREO
MATEUS,
BAIXA DE ANTONIO,FRENTE
BAIXA DE ANTONIO,FUNDOS
LEITE,
MANOEL VETERANO,
ONOFRE,
FELIPE,
JAQUEIRA DA,
1 DE JUNHO,1
HILTON RODRIGUES,BLOCO 55 A APARTAMENTO 201
BOA ESPERANCA,1
JOSETE BISPO,
ALMIRO MARIO DE ALMEIDA,1
GEORGIA,ANDAR 1
RECANTO DAS MANGUEIRAS,EDIFICIO 1 102
LACERDA,ANDAR 1
TERCEIRA DO ARRAIAL,
BARBARA,EDIFICIO QUADRA 9 ANDAR 3 APARTAMENTO 302
DIRETA DO ARRAIAL,3
LAZARO,CASA 3 ANDAR 2 FRENTE
ANDRE,CASA
ARQUELAU,
,LADO
,TERREO
SONIA ASSIS DE MOURA,
SONIA ASSIS DE MOURA,
VENEZA,TERREO
DA VILA MOISES,ANDAR 1
CALAZANS,ANDAR 1 FUNDOS
FRANCISCO DE,ANDAR
LUZIA,
PAULO MAGALHAES,TERREO
2 IRMAOS,LOJA 1
CIDADE DE CANUDOS,ANDAR 1
INES,TERREO
MIGUEL SANTANA,
PESSOA,
PESSOA,BLOCO 3 APARTAMENTO 101
,ANDAR 2
TEOFILANDIA,TERREO
ALCANTARA,BLOCO 115 A APARTAMENTO 001
VALMIR ALCANTARA,BLOCO 779 B APARTAMENTO 204
VALMIR ALCANTARA,BLOCO F 301
VALMIR ALCANTARA,BLOCO 253 A APARTAMENTO 102
ALTERNATIVA,ANDAR 1 BOX 7
VALMIR ALCANTARA,BLOCO 182 P APARTAMENTO 003
SILVEIRA MARTINS,BLOCO APARTAMENTO
MARTINS,BLOCO 28 APARTAMENTO 101
GREGORIO BONDAR,APARTAMENTO 302
SILVEIRA MARTINS,a APARTAMENTO
TOMAS GONZAGA,APARTAMENTO 002
THOMAZ GONZAGA,BLOCO 14 APARTAMENTO 202
THOMAZ GONZAGA,BLOCO 201
NUMA POMPILIO BITENCOURT,QUADRA 3 LOTE 32 FUNDOS
NUMA POMPILIO BITTENCOURT,CASA
NUMA POMPILIO BITTENCOURT,PREDIO Sem nome APARTAMENTO 301
GUILHERME MUNIZ,EDIFICIO Espirito APARTAMENTO 201
QUARTA DO BONFIM,
QUARTA DO BONFIM,
TERCEIRA DO BONFIM,
ALCEU AMOROSO LIMA,
TANCREDO NEVES,
DA HORTA,
QUARTA DA,
,
MARIA TEREZA,
MARIO KERTESZ,ANDAR 1
BARRETO,TERREO
SEGUNDA MARIO KERTESZ,
GUARATINGA,TERREO
CARNEIRO,QUADRA 6 LOTE 7 TERREO
BOTUPORA,
CANARANA,
,
ARAGUAIA,
THOMAZ GONZAGA,
GONZAGA,ALAMEDA_INTERNA CASA 5
HELENITA,
DA JAQUEIRA,CASA
PRIMEIRA,ANDAR 3
DO TUBO,
TUBO,
GERAIS,ANDAR 2 FRENTE
MINAS GERAIS,ANDAR 2
HILDA,ANDAR 1
NOVA DA,CASA TERREO
PRIMEIRA DA SAUDADE,TERREO
