Nome_Logradouro,Complemento
LAUDELINO,
LAUDELINO,FUNDOS
VIGILDASIO SENA,
HAMILTON LOPES,
2 HEITOR DIAS,
ANTONIO VIANA,
PAULO,
ANTONIO VIANA,
PRIMEIRA DO,CASA
BOA ESPERANCA DE BROTAS,
PAULO,FUNDOS
12 DE DEZEMBRO,CASA
ANTONIO VIANA,ANDAR 1
ANTONIO VIANA,1
VIANA,SOBRADO
BOA ESPERANCA DE BROTAS,TERREO
SANTANA,FUNDOS SOBRADO
MARIO LEAL FERREIRA,363 APARTAMENTO
MARIO LEAL,EDIFICIO 341 APARTAMENTO 903
MARIO LEAL,EDIFICIO 341
AMADO COUTINHO,ANDAR 402
RENATO MENDONCA,APARTAMENTO 903
MARIA AUGUSTA,
MATURINO,CASA
MARINA MATURINO,
VILA SAO ROQUE,B APARTAMENTO
,94 202
IGUARACI,BLOCO 202
IGUARACI,APARTAMENTO 101
0PTACIANO SILVA OLIVEIRA,BLOCO 17 APARTAMENTO 02
OPTACIANO DA SILVA OLIVEIRA,08 APARTAMENTO
ARISTON BERTINO DE CARVALHO,BLOCO 25 APARTAMENTO 101
BERTINO DE CARVALHO,BLOCO 35 APARTAMENTO 401
ARISTON BERTINO DE CARVALHO,36 APARTAMENTO
JARDIM CASTRO ALVES,ANDAR
MADALENA,
JOAO VI,
